date,Total MCAP (Bn),Binance Assets (Bn),Market Share %
2025-05-04,0.0,0.0,4.817
2025-05-05,0.0,0.0,4.869
2025-05-06,0.0,0.0,4.867
2025-05-07,0.0,0.0,4.832
2025-05-08,0.0,0.0,4.715
2025-05-09,0.0,0.0,4.816
2025-05-10,0.0,0.0,4.759
2025-05-11,0.0,0.0,4.785
2025-05-12,0.0,0.0,4.764
2025-05-13,0.0,0.0,4.757
2025-05-14,0.0,0.0,4.766
2025-05-15,0.0,0.0,4.751
2025-05-16,0.0,0.0,4.758
2025-05-17,0.0,0.0,4.754
2025-05-18,0.0,0.0,4.706
2025-05-19,0.0,0.0,4.734
2025-05-20,0.0,0.0,4.678
2025-05-21,0.0,0.0,4.669
2025-05-22,0.0,0.0,4.646
2025-05-23,0.0,0.0,4.688
2025-05-24,0.0,0.0,4.67
2025-05-25,0.0,0.0,4.658
2025-05-26,0.0,0.0,4.641
2025-05-27,0.0,0.0,4.637
2025-05-28,0.0,0.0,4.645
2025-05-29,0.0,0.0,4.67
2025-05-30,0.0,0.0,4.629
2025-05-31,0.0,0.0,4.632
2025-06-01,0.0,0.0,4.617
2025-06-02,0.0,0.0,4.629
2025-06-03,0.0,0.0,4.633
2025-06-04,0.0,0.0,4.631
2025-06-05,0.0,0.0,4.636
2025-06-06,0.0,0.0,4.61
2025-06-07,0.0,0.0,4.593
2025-06-08,0.0,0.0,4.58
2025-06-09,0.0,0.0,4.559
2025-06-10,0.0,0.0,4.55
2025-06-11,0.0,0.0,4.578
2025-06-12,0.0,0.0,4.511
2025-06-13,0.0,0.0,4.566
2025-06-14,0.0,0.0,4.578
2025-06-15,0.0,0.0,4.574
2025-06-16,0.0,0.0,4.546
2025-06-17,0.0,0.0,4.583
2025-06-18,0.0,0.0,4.572
2025-06-19,0.0,0.0,4.571
2025-06-20,0.0,0.0,4.58
2025-06-21,0.0,0.0,4.604
2025-06-22,0.0,0.0,4.613
2025-06-23,0.0,0.0,4.564
2025-06-24,0.0,0.0,4.561
2025-06-25,0.0,0.0,4.563
2025-06-26,0.0,0.0,4.572
2025-06-27,0.0,0.0,4.567
2025-06-28,0.0,0.0,4.567
2025-06-29,0.0,0.0,4.569
2025-06-30,0.0,0.0,4.574
2025-07-01,0.0,0.0,4.585
2025-07-02,0.0,0.0,4.542
2025-07-03,0.0,0.0,4.542
2025-07-04,0.0,0.0,4.549
2025-07-05,0.0,0.0,4.542
2025-07-06,0.0,0.0,4.524
2025-07-07,0.0,0.0,4.521
2025-07-08,0.0,0.0,4.502
2025-07-09,0.0,0.0,4.483
2025-07-10,0.0,0.0,4.678
2025-07-11,0.0,0.0,4.678
2025-07-12,0.0,0.0,4.681
2025-07-13,0.0,0.0,4.685
2025-07-14,0.0,0.0,4.663
2025-07-15,0.0,0.0,4.704
2025-07-16,0.0,0.0,4.735
2025-07-17,0.0,0.0,4.733
2025-07-18,0.0,0.0,4.767
2025-07-19,0.0,0.0,4.765
2025-07-20,0.0,0.0,4.816
2025-07-21,0.0,0.0,4.814
2025-07-22,0.0,0.0,4.784
2025-07-23,0.0,0.0,4.784
2025-07-24,0.0,0.0,4.694
2025-07-25,0.0,0.0,4.787
2025-07-26,0.0,0.0,4.793
2025-07-27,0.0,0.0,4.8
2025-07-28,0.0,0.0,4.82
2025-07-29,0.0,0.0,4.786
2025-07-30,0.0,0.0,4.777
2025-07-31,0.0,0.0,4.766
2025-08-01,0.0,0.0,4.795
2025-08-02,0.0,0.0,4.783
2025-08-03,0.0,0.0,4.783
2025-08-04,0.0,0.0,4.79
2025-08-05,0.0,0.0,4.787
2025-08-06,0.0,0.0,4.789
2025-08-07,0.0,0.0,4.8
2025-08-08,0.0,0.0,4.828
2025-08-09,0.0,0.0,4.85
2025-08-10,0.0,0.0,4.826
2025-08-11,0.0,0.0,4.84
2025-08-12,0.0,0.0,4.837
2025-08-13,0.0,0.0,4.831
2025-08-14,0.0,0.0,4.844
2025-08-15,0.0,0.0,4.841
2025-08-16,0.0,0.0,4.833
2025-08-17,0.0,0.0,4.833
2025-08-18,0.0,0.0,4.866
2025-08-19,0.0,0.0,4.902
2025-08-20,0.0,0.0,4.898
2025-08-21,0.0,0.0,4.924
2025-08-22,0.0,0.0,4.894
2025-08-23,0.0,0.0,4.918
2025-08-24,0.0,0.0,4.904
2025-08-25,0.0,0.0,4.918
2025-08-26,0.0,0.0,4.949
2025-08-27,0.0,0.0,4.973
2025-08-28,0.0,0.0,4.88
2025-08-29,0.0,0.0,4.914
2025-08-30,0.0,0.0,4.917
2025-08-31,0.0,0.0,4.913
2025-09-01,0.0,0.0,4.897
2025-09-02,0.0,0.0,4.862
2025-09-03,0.0,0.0,4.865
2025-09-04,0.0,0.0,4.995
2025-09-05,0.0,0.0,4.967
2025-09-06,0.0,0.0,4.991
2025-09-07,0.0,0.0,5.035
2025-09-08,0.0,0.0,5.047
2025-09-09,0.0,0.0,5.041
2025-09-10,0.0,0.0,4.974
2025-09-11,0.0,0.0,4.987
2025-09-12,0.0,0.0,4.999
2025-09-13,0.0,0.0,5.007
2025-09-14,0.0,0.0,5.002
2025-09-15,0.0,0.0,4.985
2025-09-16,0.0,0.0,4.998
2025-09-17,0.0,0.0,5.026
2025-09-18,0.0,0.0,5.004
2025-09-19,0.0,0.0,5.026
2025-09-20,0.0,0.0,5.059
2025-09-21,0.0,0.0,5.106
2025-09-22,0.0,0.0,5.137
2025-09-23,0.0,0.0,5.162
2025-09-24,0.0,0.0,5.129
2025-09-25,0.0,0.0,5.124
2025-09-26,0.0,0.0,5.087
2025-09-27,0.0,0.0,5.094
2025-09-28,0.0,0.0,5.098
2025-09-29,0.0,0.0,5.114
2025-09-30,0.0,0.0,5.097
2025-10-01,0.0,0.0,5.088
2025-10-02,0.0,0.0,5.064
2025-10-03,0.0,0.0,5.139
2025-10-04,0.0,0.0,5.114
2025-10-05,0.0,0.0,5.13
2025-10-06,0.0,0.0,5.213
2025-10-07,0.0,0.0,5.321
2025-10-08,0.0,0.0,5.176
2025-10-09,0.0,0.0,5.172
2025-10-10,0.0,0.0,5.193
2025-10-11,0.0,0.0,5.145
2025-10-12,0.0,0.0,5.198
2025-10-13,0.0,0.0,5.193
2025-10-14,0.0,0.0,5.138
2025-10-15,0.0,0.0,5.25
2025-10-16,0.0,0.0,5.274
2025-10-17,0.0,0.0,5.274
2025-10-18,0.0,0.0,5.25
2025-10-19,0.0,0.0,5.222
2025-10-20,0.0,0.0,5.246
2025-10-21,0.0,0.0,5.217
2025-10-22,0.0,0.0,5.198
2025-10-23,0.0,0.0,5.175
2025-10-24,0.0,0.0,5.137
2025-10-25,0.0,0.0,5.14
2025-10-26,0.0,0.0,5.12
2025-10-27,0.0,0.0,5.127
2025-10-28,0.0,0.0,5.12
2025-10-29,0.0,0.0,5.173
2025-10-30,0.0,0.0,5.211
2025-10-31,0.0,0.0,5.248
2025-11-01,0.0,0.0,5.264
2025-11-02,0.0,0.0,5.242
2025-11-03,0.0,0.0,5.242
2025-11-04,0.0,0.0,5.307
2025-11-05,0.0,0.0,5.303
2025-11-06,0.0,0.0,5.344
2025-11-07,0.0,0.0,5.431
2025-11-08,0.0,0.0,5.455
2025-11-09,0.0,0.0,5.468
2025-11-10,0.0,0.0,5.4
2025-11-11,0.0,0.0,5.418
2025-11-12,0.0,0.0,5.426
2025-11-13,0.0,0.0,5.421
2025-11-14,0.0,0.0,5.609
2025-11-15,0.0,0.0,5.585
2025-11-16,0.0,0.0,5.619
2025-11-17,0.0,0.0,5.648
2025-11-18,0.0,0.0,5.636
2025-11-19,0.0,0.0,5.673
2025-11-20,0.0,0.0,5.749
2025-11-21,0.0,0.0,5.743
2025-11-22,0.0,0.0,5.792
2025-11-23,0.0,0.0,5.73
2025-11-24,0.0,0.0,5.682
2025-11-25,0.0,0.0,5.682
2025-11-26,0.0,0.0,5.617
2025-11-27,0.0,0.0,5.596
2025-11-28,0.0,0.0,5.593
2025-11-29,0.0,0.0,5.578
2025-11-30,0.0,0.0,5.394
2025-12-01,0.0,0.0,5.604
2025-12-02,0.0,0.0,5.541
2025-12-03,0.0,0.0,5.535
2025-12-04,0.0,0.0,5.524
2025-12-05,0.0,0.0,5.553
2025-12-06,0.0,0.0,5.566
2025-12-07,0.0,0.0,5.539
2025-12-08,0.0,0.0,5.536
2025-12-09,0.0,0.0,5.479
2025-12-10,0.0,0.0,5.348
2025-12-11,0.0,0.0,5.458
2025-12-12,0.0,0.0,5.5
2025-12-13,0.0,0.0,5.523
2025-12-14,0.0,0.0,5.551
2025-12-15,0.0,0.0,5.559
2025-12-16,0.0,0.0,5.528
2025-12-17,0.0,0.0,5.552
2025-12-18,0.0,0.0,5.589
2025-12-19,0.0,0.0,5.576
2025-12-20,0.0,0.0,5.574
2025-12-21,0.0,0.0,5.583
2025-12-22,0.0,0.0,5.557
2025-12-23,0.0,0.0,5.566
2025-12-24,0.0,0.0,5.584
2025-12-25,0.0,0.0,5.575
2025-12-26,0.0,0.0,5.599
2025-12-27,0.0,0.0,5.587
2025-12-28,0.0,0.0,5.613
2025-12-29,0.0,0.0,5.613
2025-12-30,0.0,0.0,5.59
2025-12-31,0.0,0.0,5.621
2026-01-01,0.0,0.0,5.604
2026-01-02,0.0,0.0,5.588
2026-01-03,0.0,0.0,5.558
2026-01-04,0.0,0.0,5.607
2026-01-05,0.0,0.0,5.5
2026-01-06,0.0,0.0,5.53
2026-01-07,0.0,0.0,5.555
2026-01-08,0.0,0.0,5.571
2026-01-09,0.0,0.0,5.618
2026-01-10,0.0,0.0,5.619
2026-01-11,0.0,0.0,5.592
2026-01-12,0.0,0.0,5.588
2026-01-13,0.0,0.0,5.554
2026-01-14,0.0,0.0,5.496
2026-01-15,0.0,0.0,5.515
2026-01-16,0.0,0.0,5.535
2026-01-17,0.0,0.0,5.547
2026-01-18,0.0,0.0,5.487
2026-01-19,0.0,0.0,5.553
2026-01-20,0.0,0.0,5.571
2026-01-21,0.0,0.0,5.6
2026-01-22,0.0,0.0,5.583
2026-01-23,0.0,0.0,5.595
2026-01-24,0.0,0.0,5.601
2026-01-25,0.0,0.0,5.647
2026-01-26,0.0,0.0,5.589
2026-01-27,0.0,0.0,5.606
2026-01-28,0.0,0.0,5.598
2026-01-29,0.0,0.0,5.67
2026-01-30,0.0,0.0,5.684
2026-01-31,0.0,0.0,5.769
2026-02-01,0.0,0.0,5.78
2026-02-02,0.0,0.0,5.717
2026-02-03,0.0,0.0,5.813
2026-02-04,0.0,0.0,5.804
2026-02-05,0.0,0.0,5.905
2026-02-06,0.0,0.0,5.856
2026-02-07,0.0,0.0,5.854
2026-02-08,0.0,0.0,5.784
2026-02-09,0.0,0.0,5.822
2026-02-10,0.0,0.0,5.791
2026-02-11,0.0,0.0,5.828
2026-02-12,0.0,0.0,5.848
2026-02-13,0.0,0.0,5.782
2026-02-14,0.0,0.0,5.758
2026-02-15,0.0,0.0,5.789
2026-02-16,0.0,0.0,6.066
2026-02-17,0.0,0.0,6.1
2026-02-18,0.0,0.0,6.11
2026-02-19,0.0,0.0,6.125
2026-03-01,2342.75,138.42,5.908
2026-03-02,2358.0,137.47,5.83
2026-03-03,2417.5,141.47,5.852
2026-03-04,2409.19,150.46,6.245
2026-03-05,2526.52,155.53,6.156
2026-03-06,2493.87,152.8,6.127
2026-03-07,2404.11,149.17,6.205
2026-03-08,2371.15,147.95,6.239
2026-03-09,2382.98,147.57,6.193
2026-03-10,2466.71,150.01,6.081
2026-03-11,2450.29,150.88,6.158
2026-03-12,2444.95,151.62,6.201
2026-03-13,2504.12,152.73,6.099
2026-03-14,2494.52,152.01,6.094
2026-03-15,2508.72,152.21,6.067
2026-03-16,2558.96,154.49,6.037
2026-03-17,2646.96,158.77,5.998
2026-03-18,2621.32,157.32,6.002
2026-03-19,2535.25,153.14,6.04
2026-03-20,2495.38,151.81,6.084
2026-03-21,2502.42,151.74,6.064
2026-03-22,2459.72,149.76,6.088
2026-03-23,2425.44,148.42,6.119
2026-03-24,2487.35,151.51,6.091
2026-03-25,2496.43,151.25,6.059
2026-03-26,2499.93,151.56,6.063
2026-03-27,2437.56,147.94,6.069
2026-03-28,2361.76,144.47,6.117
2026-03-29,2387.44,144.9,6.069
2026-03-30,2395.46,144.97,6.052
2026-03-31,2411.29,145.68,6.042
2026-04-01,2417.49,146.92,6.077
2026-04-02,2381.06,147.08,6.177
2026-04-03,2377.37,144.94,6.097
2026-04-04,2383.65,145.18,6.091
2026-04-05,2391.3,145.56,6.087
2026-04-06,2449.23,147.35,6.016
2026-04-07,2430.24,146.97,6.047
2026-04-08,2515.05,150.83,5.997
2026-04-09,2490.66,148.83,5.976
2026-04-10,2517.25,149.78,5.95
2026-04-11,2554.0,150.9,5.908
2026-04-12,2514.17,151.33,6.019
2026-04-13,2496.41,149.02,5.969
2026-04-14,2600.76,153.16,5.889
2026-04-15,2593.17,152.32,5.874
2026-04-16,2622.33,151.81,5.789
2026-04-17,2623.74,153.84,5.863
2026-04-18,2697.76,156.89,5.816
2026-04-19,2634.68,154.74,5.873
2026-04-20,2600.4,152.58,5.868
2026-04-21,2627.49,154.53,5.881
2026-04-22,2681.07,154.26,5.754
2026-04-23,2674.25,156.0,5.834
2026-04-24,2676.27,155.77,5.82
2026-04-25,2673.85,155.28,5.807
2026-04-26,2665.71,154.64,5.801
2026-04-27,2722.84,156.63,5.753
2026-04-28,2647.29,154.29,5.828
2026-04-29,2652.89,153.54,5.788
2026-04-30,2619.8,152.77,5.831
2026-05-01,2651.61,153.03,5.771
2026-05-02,2681.95,154.5,5.761
2026-05-03,2677.77,154.7,5.777
2026-05-04,2744.92,154.94,5.645
2026-05-05,2754.48,156.67,5.688
2026-05-06,2781.21,157.51,5.663
2026-05-07,2762.51,159.17,5.762
2026-05-08,2731.88,157.24,5.756
2026-05-09,2769.76,158.77,5.732
2026-05-10,2774.07,158.32,5.707
2026-05-11,2777.63,160.0,5.76
2026-05-12,2785.93,159.98,5.742
2026-05-13,2787.97,159.67,5.727
2026-05-14,2725.71,158.55,5.817
2026-05-15,2779.43,160.49,5.774
2026-05-16,2718.97,157.42,5.79
2026-05-17,2685.31,155.49,5.79
2026-05-18,2644.18,154.32,5.836
2026-05-20,2637.25,153.44,5.818
2026-05-21,2680.1,154.6,5.768
2026-05-23,2608.58,152.31,5.839
2026-05-24,2644.17,154.0,5.824
2026-05-25,2653.55,153.85,5.798
2026-05-26,2639.86,153.94,5.831
2026-05-27,2604.07,152.58,5.859
2026-05-28,2534.0,150.94,5.956
2026-05-29,2547.62,149.75,5.878
2026-05-30,2558.44,150.3,5.875
2026-05-31,2591.91,153.81,5.934
2026-06-01,2569.14,152.36,5.931
2026-06-02,2510.38,150.84,6.009
2026-06-03,2400.76,145.17,6.047
2026-06-04,2320.12,142.64,6.148
2026-06-05,2259.73,140.78,6.23
2026-06-06,2143.24,136.94,6.39
2026-06-07,2197.27,137.53,6.259
2026-06-08,2242.25,141.02,6.289
2026-06-09,2243.42,138.63,6.18
2026-06-10,2194.85,137.83,6.28
2026-06-11,2233.3,136.36,6.106
2026-06-12,2259.87,139.51,6.173
2026-06-13,2257.86,140.07,6.204
2026-06-14,2280.18,141.14,6.19
2026-06-15,2324.34,142.24,6.12
2026-06-16,2342.44,142.88,6.099
2026-06-17,2341.84,141.69,6.05
2026-06-18,2281.04,140.51,6.16
2026-06-19,2240.0,137.79,6.151
2026-06-20,2264.51,138.41,6.112
2026-06-21,2285.83,139.4,6.098
2026-06-22,2286.35,138.64,6.064
2026-06-23,2277.73,139.0,6.102
